tract_geoid,fips_code,population,working_age_pop,labor_force_participation
24001000100,24001,3474,1473,1.0
24001000200,24001,4052,2080,1.0
24001000500,24001,2304,745,1.0
24001000600,24001,3005,1276,1.0
24001000700,24001,3233,1074,1.0
24001000800,24001,1932,911,1.0
24001001000,24001,1928,687,1.0
24001001100,24001,1327,614,1.0
24001001200,24001,2924,1241,0.9908972691807543
24001001300,24001,5061,3465,1.0
24001001401,24001,4027,1650,1.0
24001001402,24001,1599,680,1.0
24001001502,24001,2116,886,1.0
24001001503,24001,1707,784,1.0
24001001600,24001,1351,430,1.0
24001001700,24001,3722,1451,0.9920687376074026
24001001800,24001,4204,1010,1.0
24001001900,24001,2737,1097,0.9941176470588236
24001002000,24001,5177,2445,1.0
24001002100,24001,2814,1200,0.9940928270042194
24001002200,24001,3805,1640,1.0
24001002300,24001,5662,2335,1.0
24003701101,24003,4385,1872,0.9977426636568849
24003701103,24003,3828,2169,0.9818346957311535
24003701104,24003,3572,1580,0.9897488467452589
24003701201,24003,3864,1839,0.994475138121547
24003701202,24003,4391,2216,0.942577626541897
24003701301,24003,4417,1961,0.9800099950024987
24003701302,24003,3933,1531,0.9930244145490782
24003701400,24003,3837,1474,0.9895259095920618
24003702100,24003,6382,2759,1.0
24003702204,24003,4686,2238,0.9882591093117409
24003702205,24003,5292,2538,0.955668358714044
24003702206,24003,7105,3336,0.9670866546670095
24003702208,24003,8473,4406,0.9831756046267087
24003702209,24003,3802,1920,0.976395823876532
24003702300,24003,5632,2447,1.0
24003702402,24003,7791,3444,0.9878077373974209
24003702500,24003,7382,2575,0.9855351976856316
24003702601,24003,5885,2642,0.9958279845956355
24003702602,24003,6392,2861,1.0
24003702702,24003,3825,1424,1.0
24003702703,24003,2678,1738,0.9775332416322787
24003702704,24003,2616,1625,1.0
24003706102,24003,2634,925,0.976271186440678
24003706103,24003,1521,609,0.95875
24003706302,24003,3678,1886,0.988984088127295
24003706303,24003,2641,877,1.0
24003706304,24003,2081,728,0.9008097165991903
24003706402,24003,3664,1550,0.966572504708098
24003706403,24003,4043,1745,1.0
24003706404,24003,2433,1200,0.9931093884582257
24003706500,24003,5815,2737,0.9868642640619737
24003706600,24003,5212,2663,0.9907899397803754
24003706700,24003,2134,519,0.1517010596765198
24003707001,24003,5533,2480,0.9899328859060402
24003707002,24003,4527,1842,0.9781970649895179
24003708001,24003,3788,1843,0.9943589743589744
24003708004,24003,6337,2781,0.9938531219670009
24003730101,24003,2114,940,0.9745065789473685
24003730102,24003,11619,6434,0.9655657962109575
24003730204,24003,7100,3585,0.9908634079488351
24003730205,24003,2294,1467,1.0
24003730206,24003,3247,1646,0.975
24003730300,24003,3937,1939,0.9948901379662749
24003730401,24003,5651,2687,0.9864253393665159
24003730403,24003,4304,2452,1.0
24003730404,24003,1729,851,0.992108229988726
24003730507,24003,4453,2062,0.9783645031169783
24003730508,24003,2275,1079,0.9527754763877382
24003730509,24003,5083,2342,1.0
24003730510,24003,3539,1574,0.982078853046595
24003730511,24003,1310,610,1.0
24003730512,24003,2039,1072,0.9502529510961214
24003730513,24003,1530,922,0.9927007299270073
24003730514,24003,3142,1744,0.9301355578727841
24003730601,24003,7101,2929,0.9911942762795817
24003730603,24003,3531,1592,0.9887399463806971
24003730605,24003,3069,1142,0.9541160593792173
24003730606,24003,4754,2142,0.9821570182394924
24003730701,24003,2750,914,0.9302325581395349
24003730702,24003,4374,1903,0.9960229783473266
24003730800,24003,2477,849,0.9914675767918089
24003730901,24003,2914,1135,0.8585114222549742
24003730902,24003,3836,1549,0.9868287740628167
24003731002,24003,3557,1721,0.9906735751295337
24003731003,24003,4731,2287,0.9762687112084703
24003731004,24003,4365,1990,0.9900136177939174
24003731103,24003,5750,2945,0.9752596212583995
24003731104,24003,5584,2662,0.9761976498945466
24003731105,24003,3259,1306,0.971244131455399
24003731106,24003,4559,2135,0.9839612085042895
24003731107,24003,3466,1401,0.9440559440559441
24003731201,24003,6660,2969,0.9794308255846718
24003731205,24003,4836,2195,0.9828311142256482
24003731206,24003,3824,1727,0.9650238473767886
24003731207,24003,3449,1506,0.9923037455105183
24003731208,24003,4169,1996,0.993032977241059
24003731209,24003,5203,2768,0.9939631753697555
24003731210,24003,2371,1152,1.0
24003731303,24003,6475,2898,1.0
24003731306,24003,6367,2834,0.9819260096018074
24003731307,24003,5648,2905,1.0
24003731308,24003,4194,2095,0.9718107978977544
24003731309,24003,5177,2734,1.0
24003731310,24003,5012,2393,0.9966567607726597
24003731312,24003,4219,2281,0.9953881629515757
24003731313,24003,3704,2056,0.9413298565840938
24003740103,24003,8912,4462,0.9563686167090589
24003740104,24003,8849,4600,0.9778329829925473
