w_geocode,C000,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,SE01,SE02,SE03,tract_geoid,fips_code
240010001001012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24001000100,24001
240010001001020,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,1,24001000100,24001
240010001001027,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,24001000100,24001
240010001001030,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24001000100,24001
240010001001048,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001001057,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,4,1,24001000100,24001
240010001002003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,24001000100,24001
240010001002009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,24001000100,24001
240010001002024,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24001000100,24001
240010001002025,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,24001000100,24001
240010001002026,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,3,2,24001000100,24001
240010001002027,5,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,24001000100,24001
240010001002051,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001002055,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000100,24001
240010001002056,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,24001000100,24001
240010001002060,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24001000100,24001
240010001002083,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0,4,6,9,24001000100,24001
240010001002088,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001003030,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,24001000100,24001
240010001003044,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24001000100,24001
240010001003054,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,24001000100,24001
240010001003059,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,2,24001000100,24001
240010002001002,12,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,24001000200,24001
240010002001004,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24001000200,24001
240010002001011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24001000200,24001
240010002001025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,24001000200,24001
240010002002000,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,275,24,15,24001000200,24001
240010002002001,24,0,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,24001000200,24001
240010002002013,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,24001000200,24001
240010002002028,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,24001000200,24001
240010002003000,33,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,22,5,6,24001000200,24001
240010002003010,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,24001000200,24001
240010002003015,33,0,0,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,16,11,24001000200,24001
240010002003019,1007,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,561,255,24001000200,24001
240010002003020,241,0,0,0,81,57,24,0,79,0,0,0,0,0,0,0,0,0,0,0,0,11,62,168,24001000200,24001
240010002003021,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,1,138,24001000200,24001
240010002003023,35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,16,17,2,24001000200,24001
240010002003025,20,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,1,0,7,9,4,24001000200,24001
240010002003033,804,0,0,0,0,92,710,0,0,0,0,2,0,0,0,0,0,0,0,0,0,90,605,109,24001000200,24001
240010002003036,75,0,0,0,66,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,4,3,68,24001000200,24001
240010005001004,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,24001000500,24001
240010005001014,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,24001000500,24001
240010005001015,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,11,0,2,24001000500,24001
240010005001019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,6,1,5,24001000500,24001
240010005001020,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,4,8,24001000500,24001
240010005001024,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,17,12,4,24001000500,24001
240010005001027,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,24001000500,24001
240010005001032,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,24001000500,24001
240010005001035,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,9,4,4,24001000500,24001
240010005002006,210,0,0,0,0,0,0,76,5,0,0,0,0,0,5,0,81,0,43,0,0,62,106,42,24001000500,24001
240010005002007,35,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,17,0,0,12,10,13,24001000500,24001
240010005002008,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,17,21,1,24001000500,24001
240010005002011,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,30,2,5,24001000500,24001
240010005002018,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,179,0,17,0,0,24,47,149,24001000500,24001
