tract_geoid,total_jobs,jobs_retail,jobs_healthcare,jobs_education,jobs_construction
24001000100,129,23,0,10,25
24001000200,2583,10,2,0,112
24001000500,3498,135,5,434,2
24001000600,666,231,0,64,5
24001000700,862,110,0,163,56
24001000800,695,107,0,30,90
24001001000,2456,162,137,1,53
24001001100,1127,125,141,389,23
24001001200,1375,84,5,145,66
24001001300,1672,6,20,71,235
24001001401,2889,1117,42,76,98
24001001402,370,57,0,0,30
24001001502,548,451,0,0,34
24001001503,104,0,5,52,17
24001001600,280,7,3,33,6
24001001700,833,124,31,82,20
24001001800,935,44,27,52,10
24001001900,410,55,163,0,16
24001002000,1070,132,22,58,76
24001002100,419,46,0,64,31
24001002200,438,51,0,18,26
24001002300,1189,176,38,76,27
24003701101,1169,279,23,6,114
24003701103,321,31,30,16,101
24003701104,1663,259,64,24,63
24003701201,441,48,61,0,123
24003701202,377,31,46,62,83
24003701301,1004,230,92,0,162
24003701302,861,14,64,0,268
24003701400,793,37,32,20,169
24003702100,945,37,116,183,86
24003702204,608,9,137,22,228
24003702205,1986,189,240,18,423
24003702206,532,1,17,0,38
24003702208,952,356,97,12,12
24003702209,686,183,54,9,8
24003702300,4782,50,405,10,1461
24003702402,18218,2677,2302,42,701
24003702500,847,209,150,16,38
24003702601,550,27,69,197,55
24003702602,1429,155,77,62,41
24003702702,1881,31,637,43,198
24003702703,647,1,99,40,19
24003702704,5533,2143,479,17,16
24003706102,2051,31,336,8,18
24003706103,3828,227,178,385,3
24003706302,2403,104,224,27,140
24003706303,823,174,107,11,28
24003706304,353,0,5,3,14
24003706402,285,7,19,0,26
24003706403,401,39,32,0,4
24003706404,115,49,1,0,11
24003706500,7849,785,1073,69,344
24003706600,7256,504,460,16,242
24003706700,607,2,8,0,0
24003707001,485,59,16,0,78
24003707002,673,95,48,8,79
24003708001,451,26,31,0,108
24003708004,962,87,57,0,145
24003730101,66,0,3,0,40
24003730102,3768,360,25,0,793
24003730204,870,62,7,2,33
24003730205,2022,538,31,6,0
24003730206,97,12,5,0,10
24003730300,242,99,3,0,34
24003730401,1066,136,165,0,52
24003730403,457,28,25,0,32
24003730404,467,207,14,0,18
24003730507,1067,266,150,0,41
24003730508,3552,67,19,10,0
24003730509,389,48,2,3,18
24003730510,573,146,82,1,46
24003730511,251,48,0,0,0
24003730512,58,1,1,0,17
24003730513,397,42,46,0,149
24003730514,293,232,0,0,0
24003730601,2364,283,227,23,119
24003730603,1044,177,106,7,125
24003730605,710,79,27,35,23
24003730606,569,130,47,28,49
24003730701,2831,361,295,219,108
24003730702,465,132,72,1,57
24003730800,720,99,135,110,101
24003730901,501,47,60,79,22
24003730902,1603,322,713,3,94
24003731002,176,37,38,5,56
24003731003,891,161,36,96,22
24003731004,295,1,45,0,45
24003731103,3286,256,45,1988,27
24003731104,370,0,269,1,28
24003731105,348,44,22,0,18
24003731106,464,104,33,0,20
24003731107,120,1,11,0,8
24003731201,1217,215,169,102,74
24003731205,1197,344,58,0,114
24003731206,228,58,4,3,57
24003731207,407,53,55,12,20
24003731208,289,50,21,0,75
24003731209,2300,802,184,2,398
24003731210,560,90,35,6,44
24003731303,573,37,59,0,91
24003731306,412,24,19,48,132
